level_group,level,exp_threshold,,
1,1,0,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','1','0');"
1,2,10,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','2','10');"
1,3,33,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','3','33');"
1,4,80,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','4','80');"
1,5,156,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','5','156');"
1,6,270,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','6','270');"
1,7,428,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','7','428');"
1,8,640,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','8','640');"
1,9,911,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','9','911');"
1,10,1250,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','10','1250');"
1,11,1663,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','11','1663');"
1,12,2160,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','12','2160');"
1,13,2746,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','13','2746');"
1,14,3430,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','14','3430');"
1,15,4218,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','15','4218');"
1,16,5120,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','16','5120');"
1,17,6141,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','17','6141');"
1,18,7290,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','18','7290');"
1,19,8573,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','19','8573');"
1,20,10000,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','20','10000');"
1,21,11576,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','21','11576');"
1,22,13310,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','22','13310');"
1,23,15208,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','23','15208');"
1,24,17280,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','24','17280');"
1,25,19531,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','25','19531');"
1,26,21970,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','26','21970');"
1,27,24603,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','27','24603');"
1,28,27440,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','28','27440');"
1,29,30486,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','29','30486');"
1,30,33750,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','30','33750');"
1,31,37238,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','31','37238');"
1,32,40960,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','32','40960');"
1,33,44921,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','33','44921');"
1,34,49130,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','34','49130');"
1,35,53593,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','35','53593');"
1,36,58320,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','36','58320');"
1,37,63316,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','37','63316');"
1,38,68590,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','38','68590');"
1,39,74148,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','39','74148');"
1,40,80000,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','40','80000');"
1,41,86151,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','41','86151');"
1,42,92610,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','42','92610');"
1,43,99383,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','43','99383');"
1,44,106480,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','44','106480');"
1,45,113906,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','45','113906');"
1,46,121670,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','46','121670');"
1,47,129778,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','47','129778');"
1,48,138240,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','48','138240');"
1,49,147061,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','49','147061');"
1,50,156250,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','50','156250');"
1,51,165813,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','51','165813');"
1,52,175760,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','52','175760');"
1,53,186096,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','53','186096');"
1,54,196830,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','54','196830');"
1,55,207968,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','55','207968');"
1,56,219520,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','56','219520');"
1,57,231491,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','57','231491');"
1,58,243890,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','58','243890');"
1,59,256723,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','59','256723');"
1,60,270000,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','60','270000');"
1,61,283726,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','61','283726');"
1,62,297910,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','62','297910');"
1,63,312558,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','63','312558');"
1,64,327680,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','64','327680');"
1,65,343281,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','65','343281');"
1,66,359370,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','66','359370');"
1,67,375953,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','67','375953');"
1,68,393040,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','68','393040');"
1,69,410636,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','69','410636');"
1,70,428750,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','70','428750');"
1,71,447388,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','71','447388');"
1,72,466560,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','72','466560');"
1,73,486271,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','73','486271');"
1,74,506530,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','74','506530');"
1,75,527343,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','75','527343');"
1,76,548720,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','76','548720');"
1,77,570666,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','77','570666');"
1,78,593190,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','78','593190');"
1,79,616298,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','79','616298');"
1,80,640000,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','80','640000');"
1,81,664301,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','81','664301');"
1,82,689210,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','82','689210');"
1,83,714733,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','83','714733');"
1,84,740880,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','84','740880');"
1,85,767656,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','85','767656');"
1,86,795070,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','86','795070');"
1,87,823128,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','87','823128');"
1,88,851840,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','88','851840');"
1,89,881211,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','89','881211');"
1,90,911250,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','90','911250');"
1,91,941963,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','91','941963');"
1,92,973360,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','92','973360');"
1,93,1005446,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','93','1005446');"
1,94,1038230,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','94','1038230');"
1,95,1071718,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','95','1071718');"
1,96,1105920,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','96','1105920');"
1,97,1140841,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','97','1140841');"
1,98,1176490,,"INSERT INTO exp_level_thresholds (level_group,level,exp_threshold) VALUES ('1','98','1176490');"
